Coordinates,Dog_bowl,Bottle_refill_tap,Latitude,Longitude
"-37.82210994675337, 144.93666205920204",FALSE,FALSE,-37.82210995,144.9366621
"-37.81043106640399, 144.95558395492208",FALSE,TRUE,-37.81043107,144.955584
"-37.80089398503696, 144.96074870882546",TRUE,FALSE,-37.80089399,144.9607487
"-37.79841970759794, 144.92421993826414",TRUE,FALSE,-37.79841971,144.9242199
"-37.7914165845557, 144.96125460876374",TRUE,FALSE,-37.79141658,144.9612546
"-37.79028778877907, 144.94509842701018",TRUE,FALSE,-37.79028779,144.9450984
"-37.821103585220605, 144.97249534473832",TRUE,FALSE,-37.82110359,144.9724953
"-37.82435043745128, 144.9771113193355",FALSE,TRUE,-37.82435044,144.9771113
"-37.78462350014393, 144.96015661193692",FALSE,FALSE,-37.7846235,144.9601566
"-37.796396827991096, 144.97292609129818",TRUE,FALSE,-37.79639683,144.9729261
"-37.82055140792857, 144.9731742469266",FALSE,TRUE,-37.82055141,144.9731742
"-37.796300658626926, 144.94502857293458",TRUE,FALSE,-37.79630066,144.9450286
"-37.80037327256486, 144.97278944216202",FALSE,TRUE,-37.80037327,144.9727894
"-37.82089072956917, 144.94692985249003",FALSE,FALSE,-37.82089073,144.9469299
"-37.80211398428, 144.97283100368065",FALSE,TRUE,-37.80211398,144.972831
"-37.81536210793982, 144.97970486535712",FALSE,FALSE,-37.81536211,144.9797049
"-37.79431438564634, 144.9302959180467",FALSE,FALSE,-37.79431439,144.9302959
"-37.828673986591355, 144.9672264971803",FALSE,FALSE,-37.82867399,144.9672265
"-37.79337819173264, 144.94004830856508",FALSE,FALSE,-37.79337819,144.9400483
"-37.799615873678334, 144.96425054146184",FALSE,TRUE,-37.79961587,144.9642505
"-37.814969228345504, 144.96035042039261",FALSE,FALSE,-37.81496923,144.9603504
"-37.81932147571993, 144.94249797871333",FALSE,FALSE,-37.81932148,144.942498
"-37.80750643106099, 144.9685049927858",FALSE,FALSE,-37.80750643,144.968505
"-37.780205363639304, 144.95293574839906",FALSE,FALSE,-37.78020536,144.9529357
"-37.814695182979264, 144.93847737611912",FALSE,FALSE,-37.81469518,144.9384774
"-37.82337609495653, 144.9798517032086",FALSE,TRUE,-37.82337609,144.9798517
"-37.818939263478214, 144.94348692912953",FALSE,FALSE,-37.81893926,144.9434869
"-37.77845421707277, 144.95603509792244",FALSE,FALSE,-37.77845422,144.9560351
"-37.81386555249958, 144.96475087670643",FALSE,FALSE,-37.81386555,144.9647509
"-37.78297956185507, 144.9418702885437",FALSE,TRUE,-37.78297956,144.9418703
"-37.79542994425931, 144.95202812794676",FALSE,TRUE,-37.79542994,144.9520281
"-37.79275280598382, 144.96844335889637",FALSE,FALSE,-37.79275281,144.9684434
"-37.811050947085775, 144.96714245008525",FALSE,TRUE,-37.81105095,144.9671425
"-37.83081555124981, 144.97427512305256",FALSE,TRUE,-37.83081555,144.9742751
"-37.82051269611414, 144.94396083541395",FALSE,FALSE,-37.8205127,144.9439608
"-37.819668916851825, 144.9417577515994",FALSE,FALSE,-37.81966892,144.9417578
"-37.81515985140142, 144.93712549711364",FALSE,FALSE,-37.81515985,144.9371255
"-37.82114510296565, 144.94298366417019",FALSE,FALSE,-37.8211451,144.9429837
"-37.8175239427856, 144.96013037555608",FALSE,FALSE,-37.81752394,144.9601304
"-37.80225790808832, 144.96613628041044",FALSE,FALSE,-37.80225791,144.9661363
"-37.81600551227767, 144.9651330881475",FALSE,TRUE,-37.81600551,144.9651331
"-37.79924850919621, 144.9504177251165",TRUE,FALSE,-37.79924851,144.9504177
"-37.82123671455052, 144.97077057669242",FALSE,FALSE,-37.82123671,144.9707706
"-37.79922710932603, 144.94028139112405",FALSE,FALSE,-37.79922711,144.9402814
"-37.80056485451508, 144.9668454274885",FALSE,TRUE,-37.80056485,144.9668454
"-37.81033905955521, 144.9724239787079",FALSE,FALSE,-37.81033906,144.972424
"-37.805018324001324, 144.94911036775298",FALSE,TRUE,-37.80501832,144.9491104
"-37.79009686226306, 144.9257559567742",FALSE,FALSE,-37.79009686,144.925756
"-37.7981300933256, 144.9217175971122",FALSE,FALSE,-37.79813009,144.9217176
"-37.81261776692698, 144.9683505786709",FALSE,TRUE,-37.81261777,144.9683506
"-37.80626983275522, 144.95806339729006",FALSE,FALSE,-37.80626983,144.9580634
"-37.81812625933699, 144.9458429589375",FALSE,FALSE,-37.81812626,144.945843
"-37.81243580767888, 144.97368439844223",FALSE,TRUE,-37.81243581,144.9736844
"-37.816927072109706, 144.9837045105586",FALSE,FALSE,-37.81692707,144.9837045
"-37.80725891583743, 144.94696422855037",FALSE,TRUE,-37.80725892,144.9469642
"-37.79735380762625, 144.95284368062156",FALSE,FALSE,-37.79735381,144.9528437
"-37.79583501177402, 144.96807205336754",TRUE,FALSE,-37.79583501,144.9680721
"-37.813703464993914, 144.96524821218875",FALSE,FALSE,-37.81370346,144.9652482
"-37.816008130348806, 144.94552203541383",FALSE,FALSE,-37.81600813,144.945522
"-37.811115148970096, 144.96662794395766",FALSE,FALSE,-37.81111515,144.9666279
"-37.806116903955164, 144.9571333967204",FALSE,FALSE,-37.8061169,144.9571334
"-37.8452141594852, 144.98256140204748",TRUE,FALSE,-37.84521416,144.9825614
"-37.81047950700537, 144.96434622822136",FALSE,TRUE,-37.81047951,144.9643462
"-37.795526766864704, 144.93075415955866",FALSE,FALSE,-37.79552677,144.9307542
"-37.800491981075275, 144.96374391208968",FALSE,TRUE,-37.80049198,144.9637439
"-37.82024273028081, 144.95962780503942",FALSE,TRUE,-37.82024273,144.9596278
"-37.82022017744959, 144.94480746086566",FALSE,FALSE,-37.82022018,144.9448075
"-37.81232314728076, 144.98893301349375",FALSE,TRUE,-37.81232315,144.988933
"-37.795594738274296, 144.9691367333386",FALSE,FALSE,-37.79559474,144.9691367
"-37.79622591094481, 144.92675323715673",FALSE,FALSE,-37.79622591,144.9267532
"-37.79125129687361, 144.93147576642454",FALSE,FALSE,-37.7912513,144.9314758
"-37.79166434549512, 144.95175691050537",TRUE,FALSE,-37.79166435,144.9517569
"-37.828809493040296, 144.97413127261856",FALSE,FALSE,-37.82880949,144.9741313
"-37.82099191418598, 144.9617423793966",FALSE,TRUE,-37.82099191,144.9617424
"-37.813705889407565, 144.9749027278744",FALSE,TRUE,-37.81370589,144.9749027
"-37.83249800027375, 144.97285892460977",FALSE,FALSE,-37.832498,144.9728589
"-37.80633683559588, 144.9590744803669",FALSE,FALSE,-37.80633684,144.9590745
"-37.786067144628724, 144.96306993513306",FALSE,TRUE,-37.78606714,144.9630699
"-37.81437201868546, 144.96613327636365",FALSE,TRUE,-37.81437202,144.9661333
"-37.81840304050843, 144.97885934809221",FALSE,FALSE,-37.81840304,144.9788593
"-37.81649090115357, 144.98515748991457",FALSE,TRUE,-37.8164909,144.9851575
"-37.79407412774661, 144.93082898880024",FALSE,FALSE,-37.79407413,144.930829
"-37.807863918393416, 144.96107434937468",FALSE,FALSE,-37.80786392,144.9610743
"-37.81607983975034, 144.93862697161046",FALSE,FALSE,-37.81607984,144.938627
"-37.81328717472797, 144.9892411598799",FALSE,FALSE,-37.81328717,144.9892412
"-37.80530265416531, 144.96955831322754",FALSE,TRUE,-37.80530265,144.9695583
"-37.815447719564624, 144.96705501075527",FALSE,FALSE,-37.81544772,144.967055
"-37.839918521598555, 144.9812959600913",TRUE,FALSE,-37.83991852,144.981296
"-37.81367564418339, 144.98268520584864",FALSE,TRUE,-37.81367564,144.9826852
"-37.82087279535316, 144.94185586107258",FALSE,FALSE,-37.8208728,144.9418559
"-37.815558943545426, 144.93989772357784",FALSE,FALSE,-37.81555894,144.9398977
"-37.78144167402145, 144.95595472988092",FALSE,FALSE,-37.78144167,144.9559547
"-37.78559620252012, 144.96932282550418",FALSE,FALSE,-37.7855962,144.9693228
"-37.82424533734149, 144.97698410547824",TRUE,FALSE,-37.82424534,144.9769841
"-37.81010993947886, 144.95363625566395",TRUE,FALSE,-37.81010994,144.9536363
"-37.8020146095429, 144.9605723948678",FALSE,FALSE,-37.80201461,144.9605724
"-37.7881098191695, 144.95949172029708",FALSE,TRUE,-37.78810982,144.9594917
"-37.77732383776788, 144.9531895231545",FALSE,FALSE,-37.77732384,144.9531895
"-37.82168006484173, 144.9700370336942",FALSE,TRUE,-37.82168006,144.970037
"-37.82605853691661, 144.9615312833258",FALSE,FALSE,-37.82605854,144.9615313
"-37.827087271632976, 144.98504460154422",FALSE,FALSE,-37.82708727,144.9850446
"-37.819734518071364, 144.9475652363716",FALSE,FALSE,-37.81973452,144.9475652
"-37.82017775836843, 144.9480020326732",FALSE,TRUE,-37.82017776,144.948002
"-37.78413055442304, 144.9561695135437",TRUE,FALSE,-37.78413055,144.9561695
"-37.78866797179563, 144.96246173875772",FALSE,TRUE,-37.78866797,144.9624617
"-37.79256416270773, 144.922630804458",FALSE,TRUE,-37.79256416,144.9226308
"-37.79148137934659, 144.95640337310826",FALSE,TRUE,-37.79148138,144.9564034
"-37.781971287851476, 144.95606844481355",FALSE,TRUE,-37.78197129,144.9560684
"-37.79451455017051, 144.9159122539464",TRUE,FALSE,-37.79451455,144.9159123
"-37.819376190936254, 144.96425791163875",FALSE,FALSE,-37.81937619,144.9642579
"-37.80719483579952, 144.97264821832775",FALSE,FALSE,-37.80719484,144.9726482
"-37.80333644461803, 144.94973046402842",FALSE,FALSE,-37.80333644,144.9497305
"-37.8200996090771, 144.96520412105647",FALSE,TRUE,-37.82009961,144.9652041
"-37.81191194838843, 144.97076931535327",FALSE,TRUE,-37.81191195,144.9707693
"-37.81108547106561, 144.986823716213",FALSE,FALSE,-37.81108547,144.9868237
"-37.79634473440512, 144.95295625926101",FALSE,FALSE,-37.79634473,144.9529563
"-37.83352412979702, 144.98347223277543",TRUE,FALSE,-37.83352413,144.9834722
"-37.81655981940826, 144.958479412123",FALSE,TRUE,-37.81655982,144.9584794
"-37.81906773607154, 144.95451978482612",FALSE,TRUE,-37.81906774,144.9545198
"-37.81262231879966, 144.95695726799045",FALSE,TRUE,-37.81262232,144.9569573
"-37.78972452756684, 144.95542692736785",TRUE,FALSE,-37.78972453,144.9554269
"-37.81949228639884, 144.94459499380662",FALSE,FALSE,-37.81949229,144.944595
"-37.807152962975586, 144.95128617901676",FALSE,TRUE,-37.80715296,144.9512862
"-37.81013008750712, 144.99100554178736",FALSE,FALSE,-37.81013009,144.9910055
"-37.814022713257685, 144.96377589639772",FALSE,TRUE,-37.81402271,144.9637759
"-37.83822661704696, 144.9845757117782",FALSE,FALSE,-37.83822662,144.9845757
"-37.80218636204077, 144.97111015985016",FALSE,TRUE,-37.80218636,144.9711102
"-37.80154324073521, 144.97074694104214",FALSE,TRUE,-37.80154324,144.9707469
"-37.78615201108828, 144.95349293828525",FALSE,FALSE,-37.78615201,144.9534929
"-37.81992693832316, 144.94314585668042",FALSE,FALSE,-37.81992694,144.9431459
"-37.81890778973109, 144.97301938244627",FALSE,FALSE,-37.81890779,144.9730194
"-37.811441273333834, 144.95511626726946",FALSE,TRUE,-37.81144127,144.9551163
"-37.82016422388396, 144.9419807414183",FALSE,FALSE,-37.82016422,144.9419807
"-37.827924925554626, 144.98354503295144",FALSE,FALSE,-37.82792493,144.983545
"-37.81472791168905, 144.93868934270515",TRUE,FALSE,-37.81472791,144.9386893
"-37.80831892386757, 144.97445245211898",FALSE,FALSE,-37.80831892,144.9744525
"-37.82340947086067, 144.94065316721642",FALSE,FALSE,-37.82340947,144.9406532
"-37.818393312901414, 144.94467796351668",FALSE,FALSE,-37.81839331,144.944678
"-37.787145044550506, 144.95944649397603",FALSE,FALSE,-37.78714504,144.9594465
"-37.84105383065132, 144.98474159117376",FALSE,FALSE,-37.84105383,144.9847416
"-37.83912302483119, 144.98029597307354",FALSE,FALSE,-37.83912302,144.980296
"-37.80696316737549, 144.97097533310074",FALSE,FALSE,-37.80696317,144.9709753
"-37.82006369883412, 144.94335006764553",FALSE,FALSE,-37.8200637,144.9433501
"-37.82416129460037, 144.94386411864073",FALSE,FALSE,-37.82416129,144.9438641
"-37.81047413141583, 144.98106657764444",TRUE,FALSE,-37.81047413,144.9810666
"-37.81426414724787, 144.97865144245154",FALSE,TRUE,-37.81426415,144.9786514
"-37.81877097793573, 144.97408155357158",FALSE,TRUE,-37.81877098,144.9740816
"-37.811816918335545, 144.9647358013035",FALSE,TRUE,-37.81181692,144.9647358
"-37.829394894475676, 144.97402641133465",FALSE,FALSE,-37.82939489,144.9740264
"-37.789426340332234, 144.92521601291634",FALSE,FALSE,-37.78942634,144.925216
"-37.82093618828216, 144.94302877180849",FALSE,FALSE,-37.82093619,144.9430288
"-37.807299202453336, 144.9638063589646",FALSE,FALSE,-37.8072992,144.9638064
"-37.81775113289117, 144.9668727624917",FALSE,TRUE,-37.81775113,144.9668728
"-37.78516928275589, 144.9629960270774",FALSE,FALSE,-37.78516928,144.962996
"-37.808763201408944, 144.9755999159518",FALSE,FALSE,-37.8087632,144.9755999
"-37.81370900165242, 144.96521920731234",FALSE,FALSE,-37.813709,144.9652192
"-37.78528312570061, 144.96618877508342",FALSE,FALSE,-37.78528313,144.9661888
"-37.812116364293914, 144.96242655579448",FALSE,TRUE,-37.81211636,144.9624266
"-37.794860401126186, 144.97032531494713",FALSE,FALSE,-37.7948604,144.9703253
"-37.81933413777128, 144.96443696866604",FALSE,FALSE,-37.81933414,144.964437
"-37.797011044237784, 144.96719442537855",FALSE,FALSE,-37.79701104,144.9671944
"-37.817347815583766, 144.9877967436974",FALSE,TRUE,-37.81734782,144.9877967
"-37.80873006707316, 144.945010465895",FALSE,FALSE,-37.80873007,144.9450105
"-37.81522141134258, 144.96172628554172",FALSE,FALSE,-37.81522141,144.9617263
"-37.82050899334054, 144.94485852337164",FALSE,FALSE,-37.82050899,144.9448585
"-37.79332999851195, 144.97374160438724",FALSE,FALSE,-37.79333,144.9737416
"-37.82553356070186, 144.96099800648864",FALSE,FALSE,-37.82553356,144.960998
"-37.82220232720067, 144.956603131736",FALSE,FALSE,-37.82220233,144.9566031
"-37.793822787803755, 144.958038101861",FALSE,TRUE,-37.79382279,144.9580381
"-37.78533232662653, 144.9534737646951",FALSE,TRUE,-37.78533233,144.9534738
"-37.809792956338455, 144.95510199726527",FALSE,FALSE,-37.80979296,144.955102
"-37.817906690815356, 144.96632571147111",FALSE,FALSE,-37.81790669,144.9663257
"-37.807115639803214, 144.95593164435638",FALSE,FALSE,-37.80711564,144.9559316
"-37.83463602099828, 144.97488441712127",FALSE,TRUE,-37.83463602,144.9748844
"-37.826019122772884, 144.96821302911962",FALSE,FALSE,-37.82601912,144.968213
